Genes,Pathways
CENPS,path:hsa03460;WP4946
BNIP2,WP4298
BCL2,path:hsa04215;path:hsa05022;path:hsa04510;path:hsa04928;path:hsa04151;path:hsa05132;path:hsa04933;path:hsa04066;path:hsa04630;path:hsa05222;path:hsa05226;path:hsa04140;path:hsa05014;path:hsa05215;path:hsa04115;path:hsa05417;path:hsa04071;path:hsa04261;path:hsa04141;path:hsa04621;path:hsa04915;path:hsa05418;path:hsa04217;path:hsa05152;path:hsa05145;path:hsa05131;path:hsa05206;path:hsa05200;path:hsa05170;path:hsa04210;path:hsa04064;path:hsa04725;path:hsa05169;path:hsa05210;path:hsa05161;path:hsa05162;path:hsa04722;path:hsa05168;path:hsa04340;WP127;WP2507;WP1438;WP1742;WP1772;WP2509;WP2332;WP2355;WP2447;WP254;WP286;WP304;WP306;WP314;WP3287;WP3657;WP3872;WP3888;WP3941;WP4861;WP3995;WP4008;WP4172;WP4216;WP4249;WP4298;WP4399;WP4864;WP4657;WP4658;WP4666;WP4673;WP4698;WP4754;WP4806;WP4877;WP49;WP4925;WP615;WP710;WP712
ARHGEF18,path:hsa04530
CASTOR3,WP2361
PSMD11,path:hsa05020;path:hsa05022;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa05017;path:hsa03050;path:hsa05012;path:hsa05169;WP183;WP2359;WP3888
SUMO4,path:hsa03013;path:hsa05418
LHPP,path:hsa00190
SLC8A2,path:hsa05414;path:hsa05410;path:hsa05412;path:hsa04261;path:hsa04961;path:hsa04978;path:hsa04371;path:hsa04020;path:hsa04974;path:hsa04260;path:hsa04022;path:hsa04740
HAAO,path:hsa00380;WP2485;WP465
PARP8,WP2857
SIRPA,path:hsa04380;WP2037;WP2380;WP2406;WP4673
MAN1A1,path:hsa00513;path:hsa00510;path:hsa04141
CCNG2,path:hsa04068;path:hsa04115;WP45;WP710
CYB5A,WP43
MYO1C,path:hsa05130;WP3888;WP481
SEC63,path:hsa03060;path:hsa04141
ZNF235,path:hsa05168
S100P,WP2361;WP2880;WP2882
UBE2I,path:hsa04120;path:hsa03013;path:hsa05206;path:hsa04064;WP138;WP366
CALR,path:hsa04145;path:hsa05166;path:hsa05142;path:hsa04141;path:hsa04612;path:hsa05170;path:hsa05163;path:hsa05169;path:hsa05168;WP138;WP2806;WP3613;WP3888;WP536
CRY2,path:hsa04710;WP3298;WP410
HIF1A,path:hsa05235;path:hsa05230;path:hsa05231;path:hsa04066;path:hsa04659;path:hsa05211;path:hsa04140;path:hsa04137;path:hsa05205;path:hsa05200;path:hsa04919;path:hsa05167;WP1539;WP2324;WP236;WP2374;WP2456;WP2877;WP3593;WP3614;WP3630;WP3646;WP3672;WP3932;WP4018;WP4239;WP4241;WP4331;WP4906;WP61;WP706
ZNF701,path:hsa05168
RIOK1,path:hsa03008
SYTL5,WP2291
TNRC6C,WP2853
AKR7A2,path:hsa00980;WP699;WP702
RPS3A,path:hsa05171;path:hsa03010;WP477
GPSM1,path:hsa05030
EPHA1,path:hsa04360
FGD5,WP3888
SENP5,WP4906
VPS37C,path:hsa04144
GRIN3A,path:hsa05020;path:hsa05030;path:hsa05031;path:hsa05034;path:hsa04724;path:hsa05033;path:hsa05017;path:hsa04024;path:hsa04080;WP4539
KLHL13,path:hsa04120
ATP5MF,path:hsa04714;path:hsa00190;WP111;WP623
CXCL6,path:hsa05133;path:hsa04062;path:hsa04668;path:hsa04657;path:hsa05323;path:hsa04060;path:hsa04061;WP5039
NME4,path:hsa00240;path:hsa00983;path:hsa00230;WP4022
BAIAP3,path:hsa05202
EPPIN,WP4673
KMT2C,path:hsa00310;WP2369;WP3651;WP4949
PFDN5,WP4918
MYCN,path:hsa05202;WP3651;WP5053
RIPPLY2,WP2854;WP4785
TRHR,path:hsa04020;path:hsa04080;WP24;WP455
SLC30A10,WP3529
TPP1,path:hsa04142;WP3888
CRLF2,path:hsa04630;path:hsa04060;WP2203
RHOQ,path:hsa04910;WP3915;WP481
F13B,path:hsa04610;path:hsa05171;WP272;WP496;WP558
AMFR,path:hsa04141;WP1982
ZFP36L1,path:hsa04218;WP5072
CUL7,path:hsa04120
HEXA,path:hsa04142;path:hsa00513;path:hsa00511;path:hsa00603;path:hsa00604;path:hsa00520;path:hsa00531;WP4153;WP4815
KRT27,path:hsa05150;path:hsa04915
MYO5A,path:hsa05130;WP4656
PATZ1,WP138
ZNF267,path:hsa05168
GCNT3,path:hsa00512
NF2,path:hsa04530;path:hsa04390;path:hsa04392;WP2858;WP4534;WP4537;WP4540;WP4541;WP4906
ALG8,path:hsa00510
SUV39H2,path:hsa00310;WP2369
CD151,WP2572;WP4758
F12,path:hsa04610;WP272;WP4969;WP558
RPS8,path:hsa05171;path:hsa03010;WP477
NCOR2,path:hsa04330;path:hsa05169;WP138;WP236;WP2586;WP268;WP4312;WP61
RAPGEF3,path:hsa04726;path:hsa04720;path:hsa04261;path:hsa04024;path:hsa04015;path:hsa04072;path:hsa04670;WP2355
ENPP6,path:hsa00565
FRMD1,path:hsa04390;path:hsa04392
SBF2,WP4856
MYL2,path:hsa04510;path:hsa05132;path:hsa05414;path:hsa05410;path:hsa04530;path:hsa04810;path:hsa04261;path:hsa04371;path:hsa04260;path:hsa05131;path:hsa04670;WP2406;WP289;WP306;WP383;WP3888;WP4560
KRT38,path:hsa05150;path:hsa04915;WP2877
SHMT2,path:hsa00670;path:hsa00260;path:hsa00630;WP176;WP1495;WP1533;WP241;WP2525;WP3940;WP4018;WP4290
GABRA3,path:hsa05032;path:hsa05033;path:hsa04727;path:hsa04080;path:hsa04742;path:hsa04723;WP4159;WP4312;WP4829
TNFRSF13C,path:hsa05340;path:hsa05166;path:hsa04064;path:hsa04060;path:hsa04672
PGP,path:hsa00630
HK2,path:hsa00010;path:hsa00051;path:hsa05230;path:hsa04930;path:hsa04066;path:hsa00500;path:hsa04973;path:hsa05131;path:hsa04910;path:hsa00052;path:hsa00524;path:hsa00520;WP4018;WP534
TPI1,path:hsa00010;path:hsa00051;path:hsa00562;WP143;WP1946;WP2456;WP4018;WP4629;WP534
CCL14,path:hsa04062;path:hsa04060;path:hsa04061
NPPB,path:hsa04714;path:hsa04270;path:hsa04022;WP1544;WP4008;WP4754
TNNI3,path:hsa05414;path:hsa05410;path:hsa05415;path:hsa04261;path:hsa04024;path:hsa04260;WP2406;WP383
CBR4,path:hsa00061
STK38L,WP4537;WP4542
HLA-DMA,path:hsa04514;path:hsa05330;path:hsa05332;path:hsa05416;path:hsa05322;path:hsa05320;path:hsa05321;path:hsa04659;path:hsa04658;path:hsa04940;path:hsa04145;path:hsa05166;path:hsa05310;path:hsa05150;path:hsa04640;path:hsa05152;path:hsa05140;path:hsa05145;path:hsa05323;path:hsa04612;path:hsa04672;path:hsa05169;path:hsa05164;path:hsa05168;WP2328;WP410;WP4217;WP4298
NPY,path:hsa04923;path:hsa04920;path:hsa05034;path:hsa04024;path:hsa04080;WP2197;WP4746
CTRL,path:hsa04974;path:hsa04972
CAP1,WP3915;WP481
BIRC3,path:hsa04215;path:hsa04510;path:hsa05132;path:hsa05222;path:hsa04120;path:hsa04668;path:hsa04390;path:hsa04621;path:hsa04217;path:hsa05145;path:hsa05200;path:hsa05202;path:hsa04210;path:hsa04064;path:hsa05168;WP1772;WP2036;WP231;WP254;WP2880;WP2882;WP306;WP3617;WP3646;WP4658;WP4659;WP4754
PSMA6,path:hsa05020;path:hsa05022;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa05017;path:hsa03050;path:hsa05012;WP183
CTSH,path:hsa04142;path:hsa04210
NOB1,path:hsa03008
RAB8A,path:hsa05022;path:hsa04530;path:hsa04140;path:hsa05014;path:hsa04152;path:hsa04972;path:hsa04144;WP3932;WP4352;WP4656
MAPK13,path:hsa05020;path:hsa05022;path:hsa04750;path:hsa04611;path:hsa04660;path:hsa05171;path:hsa04926;path:hsa04664;path:hsa05133;path:hsa05132;path:hsa05135;path:hsa05235;path:hsa04728;path:hsa04933;path:hsa04935;path:hsa04114;path:hsa05415;path:hsa04659;path:hsa04658;path:hsa04912;path:hsa05014;path:hsa04068;path:hsa04668;path:hsa05120;path:hsa04714;path:hsa04550;path:hsa05417;path:hsa04071;path:hsa04613;path:hsa04261;path:hsa05142;path:hsa04621;path:hsa04622;path:hsa04370;path:hsa05418;path:hsa04625;path:hsa04657;path:hsa05152;path:hsa04015;path:hsa04010;path:hsa05140;path:hsa05145;path:hsa05131;path:hsa05130;path:hsa05205;path:hsa04917;path:hsa04670;path:hsa04620;path:hsa04380;path:hsa05170;path:hsa04218;path:hsa05163;path:hsa05169;path:hsa04723;path:hsa05161;path:hsa04722;path:hsa05167;path:hsa04914;WP1449;WP2371;WP2446;WP3303;WP3612;WP382;WP3865;WP3915;WP3941;WP4239;WP4321;WP4341;WP4538;WP4864;WP4666;WP4767;WP4787;WP481;WP4877;WP75
NRP2,WP3888;WP4239
BCL2L1,path:hsa04215;path:hsa05022;path:hsa05220;path:hsa04151;path:hsa04630;path:hsa05222;path:hsa04014;path:hsa04140;path:hsa05014;path:hsa05166;path:hsa04137;path:hsa04115;path:hsa05417;path:hsa05225;path:hsa04621;path:hsa05145;path:hsa05131;path:hsa05200;path:hsa05202;path:hsa05012;path:hsa05170;path:hsa04210;path:hsa04064;path:hsa05212;path:hsa05162;path:hsa05168;WP1772;WP2034;WP205;WP231;WP2447;WP254;WP2817;WP286;WP3614;WP364;WP3646;WP3657;WP3672;WP3872;WP3888;WP4172;WP4223;WP4263;WP4298;WP4864;WP4658;WP4659;WP4754;WP4806
MTF2,WP2857;WP2916;WP3286
DNAJC3,path:hsa04141;path:hsa05164;WP3613
GCLC,path:hsa00480;path:hsa04216;path:hsa00270;WP100;WP2525;WP2586;WP2864;WP2882;WP2884;WP3;WP3612;WP3940;WP408;WP4313;WP4357;WP4518;WP4698
DDX4,WP4673
MGAT1,path:hsa00513;path:hsa00510
CD180,WP1449
HBS1L,path:hsa05134;path:hsa03015
HTR4,path:hsa04726;path:hsa04024;path:hsa04020;path:hsa04080;WP455;WP58;WP734
TCF20,WP129
NSFL1C,path:hsa04141
CYP39A1,path:hsa00120;WP43;WP4545;WP702
OPA1,path:hsa05017
KIF1B,WP4856
TOMM70,WP5038
ZNF766,path:hsa05168
MAK,WP4803
TET2,WP3584
IGFBP7,WP3670;WP3888;WP615
M6PR,path:hsa05132;path:hsa04145;path:hsa04142
PRMT3,WP4947
CSF1,path:hsa05022;path:hsa04151;path:hsa04014;path:hsa05010;path:hsa04668;path:hsa04640;path:hsa04015;path:hsa04010;path:hsa05323;path:hsa04380;path:hsa04060;path:hsa04061;WP176;WP2848;WP3892;WP3932;WP4172;WP530
VCAM1,path:hsa04514;path:hsa04933;path:hsa05143;path:hsa04668;path:hsa05144;path:hsa05417;path:hsa05418;path:hsa04670;path:hsa04064;WP2018;WP3617;WP3678;WP4329;WP4396;WP4493;WP4747;WP4874
FBP2,path:hsa00010;path:hsa00051;path:hsa04152;path:hsa04922;path:hsa04910;path:hsa00030;WP534
FCGR2C,path:hsa04145;path:hsa05150;path:hsa05152;path:hsa05140;path:hsa04380
SF3B3,path:hsa03040;WP411
SOX5,WP2064;WP4673;WP474;WP4808
RAD9B,path:hsa04218;WP3875
CHST1,path:hsa00533;WP702
KDM5C,WP4018
RP9,path:hsa03040
SFRP2,path:hsa04310;WP4258;WP428;WP4336
SEMA4F,path:hsa04360
VAV3,path:hsa04660;path:hsa04510;path:hsa04662;path:hsa04664;path:hsa04666;path:hsa05135;path:hsa04062;path:hsa04810;path:hsa05417;path:hsa04024;path:hsa04015;path:hsa04650;path:hsa05205;path:hsa04670;WP185;WP2380;WP2857;WP2864;WP306;WP3929;WP3937;WP437;WP69
TRPC2,WP4754
ST3GAL1,path:hsa00512;path:hsa00603;path:hsa00604;path:hsa00533;WP1423;WP1424
ARFGAP2,path:hsa04144;WP4754
TRPC4AP,WP4754
PPARA,path:hsa04920;path:hsa04931;path:hsa04932;path:hsa05415;path:hsa04922;path:hsa04024;path:hsa03320;path:hsa05160;WP170;WP1541;WP2011;WP236;WP2878;WP2881;WP2882;WP299;WP3942;WP4396;WP4707;WP4720;WP4721
WWTR1,path:hsa04390;path:hsa04392;WP236
ANAPC5,path:hsa04110;path:hsa04114;path:hsa04120;path:hsa05166;path:hsa04657;path:hsa04914;WP179
RAP2C,path:hsa04530
KIF23,path:hsa05206
MALT1,path:hsa04660;path:hsa04662;path:hsa04625;path:hsa05152;path:hsa05131;path:hsa04064;WP23;WP3863;WP4657;WP5072;WP69
RGS14,path:hsa04015;WP289;WP536
PNLDC1,path:hsa03018
CFTR,path:hsa04530;path:hsa04976;path:hsa04971;path:hsa04152;path:hsa02010;path:hsa04024;path:hsa04972;path:hsa05110
MBD1,WP706
DKK1,path:hsa05022;path:hsa04310;path:hsa05010;WP2406;WP2572;WP2848;WP2853;WP2857;WP3658;WP3971;WP3888;WP3930;WP4258;WP428;WP4336
ROBO2,path:hsa04360;WP4823;WP4830;WP5053
CCL8,path:hsa04062;path:hsa04060;path:hsa04061
TAB2,path:hsa05171;path:hsa05132;path:hsa05135;path:hsa04668;path:hsa05417;path:hsa04621;path:hsa04657;path:hsa04010;path:hsa05140;path:hsa05145;path:hsa05131;path:hsa05130;path:hsa04620;path:hsa04380;path:hsa05170;path:hsa04064;path:hsa05169;path:hsa05161;path:hsa05162;path:hsa05168;WP1449;WP195;WP2018;WP231;WP2637;WP382;WP3851;WP410;WP4329;WP4666;WP75
ALPG,path:hsa00790;path:hsa00730;WP2877
TBC1D32,WP4803
SLC23A1,path:hsa04977
RNF2,WP4553
ACTR1A,path:hsa05022;path:hsa05132;path:hsa05014;path:hsa05016
NRG4,path:hsa05014;path:hsa04012;WP673
NQO1,path:hsa00130;path:hsa05225;path:hsa05418;path:hsa05200;WP2436;WP2586;WP2864;WP2873;WP2882;WP2884;WP3;WP3612;WP3670;WP3891;WP408;WP4357;WP4673;WP697
HCN1,path:hsa04929;WP4549
TNFSF9,path:hsa04060;WP3850
VKORC1L1,path:hsa00130
SNAP23,path:hsa04611;path:hsa04130;WP481
NUMA1,WP2858
CNOT9,path:hsa03018
S100A8,path:hsa04657;WP2877
SLC4A7,WP4754
NOX4,path:hsa05022;path:hsa04933;path:hsa05010;WP2431;WP3888;WP408
ROS1,WP2431;WP3630;WP4790
PI4KB,path:hsa00562;path:hsa04070
SELENOF,WP15
MDC1,WP3878
DNM3,path:hsa05100;path:hsa04961;path:hsa04072;path:hsa04144;path:hsa04721;WP2267
GATA3,path:hsa04928;path:hsa05321;path:hsa04659;path:hsa04658;WP236;WP2857;WP3527;WP395;WP3893;WP4149;WP4211;WP4830;WP5053;WP61;WP69;WP706
ANOS1,WP5053;WP5074
GNG12,path:hsa04926;path:hsa04151;path:hsa05032;path:hsa05034;path:hsa04726;path:hsa04728;path:hsa04724;path:hsa04062;path:hsa04014;path:hsa04713;path:hsa04810;path:hsa04727;path:hsa04371;path:hsa04010;path:hsa05200;path:hsa05170;path:hsa04725;path:hsa05163;path:hsa04723;path:hsa05167;WP289;WP35;WP382;WP3929;WP3932;WP4172;WP4223;WP51;WP536
WDR43,path:hsa03008
TALDO1,path:hsa00030;WP134;WP1946;WP4290
PSMB8,path:hsa03050;WP183;WP4197
IGSF6,WP3945
HOXC11,WP2853
AMPD3,path:hsa00230
STX16,path:hsa04130;WP2858
CCL27,path:hsa04062;path:hsa04060;path:hsa04061;WP3929;WP5046
CD24,path:hsa04640
SAMSN1,WP3945
PARS2,path:hsa00970
C2,path:hsa04610;path:hsa05171;path:hsa05133;path:hsa05322;path:hsa05150;WP2328;WP2806;WP3941;WP545;WP558
CLDN3,path:hsa04514;path:hsa04530;path:hsa05130;path:hsa05160;path:hsa04670;WP4239;WP4657;WP4754
TAP1,path:hsa05340;path:hsa04145;path:hsa02010;path:hsa04612;path:hsa05170;path:hsa05163;path:hsa05169;path:hsa05168;WP3584;WP4197;WP619
UBE2D4,path:hsa04120;path:hsa04141;path:hsa05131
APIP,path:hsa00270;WP3580
MC4R,path:hsa04080;WP24;WP455;WP4746
SMYD4,WP2369
RAB23,WP4536;WP4803
KIAA0753,WP4536;WP4803
CRTAP,WP4786
DUSP3,path:hsa04010;WP382;WP4549
PHLDA3,WP4286
MINPP1,path:hsa00010;path:hsa00562
FUCA2,path:hsa04142;path:hsa00511
PRPF31,path:hsa03040
EPN1,path:hsa04144;WP3888;WP437
ACIN1,path:hsa03015;path:hsa03013;path:hsa03040
TAF12,path:hsa03022;WP405
ZDHHC7,WP4754
PLA2G5,path:hsa00565;path:hsa00564;path:hsa04014;path:hsa04270;path:hsa00592;path:hsa00590;path:hsa00591;path:hsa04975;path:hsa04972;WP167;WP2431;WP3888;WP4223;WP4719;WP4723
PREB,path:hsa04141
LIAS,path:hsa00785
AP1M1,path:hsa04142;path:hsa05170
PPP1R12A,path:hsa04611;path:hsa04510;path:hsa04921;path:hsa04810;path:hsa04024;path:hsa04270;path:hsa05205;path:hsa04022;WP306;WP4541;WP51
SSX2,path:hsa05202
RAB4A,path:hsa04144;WP3888;WP481;WP4856;WP4950
GYPC,path:hsa05144
NEFL,path:hsa05022;path:hsa05014;WP2447;WP3680;WP4008;WP4352;WP4856
SLX4,path:hsa03460
DBT,path:hsa00640;path:hsa00280
POLA1,path:hsa03030;WP2446;WP4022;WP404;WP466
DPM2,path:hsa00563;path:hsa00510
HAT1,path:hsa05034;path:hsa04613;WP3996
CLP1,path:hsa03015;WP411
GNRHR,path:hsa04912;path:hsa04080;WP117;WP24
PRPS1,path:hsa00230;path:hsa00030;WP404
MAP3K4,path:hsa04912;path:hsa04010;WP382;WP3915;WP437;WP4872;WP481;WP4877;WP524;WP710
INPP5B,path:hsa00562;path:hsa04070
ATMIN,WP3878
GIT2,path:hsa05135;path:hsa04144;WP185
PPP2R2B,path:hsa04151;path:hsa04728;path:hsa04530;path:hsa03015;path:hsa04152;path:hsa04071;path:hsa04261;path:hsa04390;path:hsa05142;path:hsa05160;path:hsa05165;WP3932;WP399;WP4172;WP500
PRKACA,path:hsa05020;path:hsa04750;path:hsa04611;path:hsa04928;path:hsa04927;path:hsa04926;path:hsa04925;path:hsa04923;path:hsa04921;path:hsa05032;path:hsa05030;path:hsa05031;path:hsa05034;path:hsa04726;path:hsa04728;path:hsa04724;path:hsa04934;path:hsa04935;path:hsa04911;path:hsa04114;path:hsa05414;path:hsa04213;path:hsa04913;path:hsa04530;path:hsa04918;path:hsa04062;path:hsa04912;path:hsa04976;path:hsa04014;path:hsa04971;path:hsa04310;path:hsa04140;path:hsa05146;path:hsa04962;path:hsa04540;path:hsa05166;path:hsa04720;path:hsa04713;path:hsa04727;path:hsa04714;path:hsa04922;path:hsa04261;path:hsa04211;path:hsa04961;path:hsa04024;path:hsa04371;path:hsa04915;path:hsa04270;path:hsa04020;path:hsa04924;path:hsa04970;path:hsa04010;path:hsa05205;path:hsa05200;path:hsa05203;path:hsa05012;path:hsa04910;path:hsa04916;path:hsa04725;path:hsa05163;path:hsa04742;path:hsa05110;path:hsa04740;path:hsa04919;path:hsa04723;path:hsa05165;path:hsa04914;path:hsa04340;WP1602;WP1982;WP2035;WP2038;WP2436;WP2636;WP2806;WP2857;WP286;WP289;WP35;WP382;WP3869;WP3965;WP4223;WP4249;WP4321;WP4540;WP4541;WP4549;WP4566;WP4659;WP474;WP4808;WP536;WP706;WP712
MOB1A,path:hsa04390;path:hsa04392;WP4542
CCNG1,path:hsa04115;path:hsa05206;WP1530;WP2431;WP4963
VPS33A,path:hsa05132;WP4217
SGPP1,path:hsa04071;path:hsa00600;WP4725;WP4726
TGM2,path:hsa05016;WP4754
PLAC8,WP2363;WP2895
ETF1,path:hsa03015;WP107
GRM8,path:hsa04724;path:hsa04072;path:hsa04080;WP117;WP501
GTF2F1,path:hsa03022
SSR2,path:hsa04141
BCL2L14,WP3872
PTPRT,WP4538
DYNC1I2,path:hsa05132;path:hsa04145;path:hsa04962;WP4352;WP4532
ZFYVE9,path:hsa04350;path:hsa04144;WP366;WP4816;WP560
GDPD3,path:hsa00565;WP4949
GBP5,path:hsa04621
ATP2B4,path:hsa04925;path:hsa04261;path:hsa04961;path:hsa04024;path:hsa04978;path:hsa04020;path:hsa04970;path:hsa04972;path:hsa04022;WP4698
APOA1,path:hsa05143;path:hsa05417;path:hsa04979;path:hsa04975;path:hsa04977;path:hsa03320;WP176;WP15;WP1533;WP2806;WP2878;WP2882;WP3942;WP430
TGFA,path:hsa05223;path:hsa04151;path:hsa04014;path:hsa05211;path:hsa05215;path:hsa05225;path:hsa05214;path:hsa04915;path:hsa04010;path:hsa05200;path:hsa04012;path:hsa05212;path:hsa05210;WP2870;WP2882;WP2884;WP3614;WP3624;WP3680;WP3927;WP4172;WP4241;WP4255;WP4263;WP4806;WP673
KNSTRN,WP4542
FAU,path:hsa05171;path:hsa03010;WP477
ZFX,WP3657
P2RY11,path:hsa04080;WP117;WP455;WP4900
SLC25A17,path:hsa04146
TRPV6,path:hsa04978;path:hsa04970;WP2877
MAP3K2,path:hsa04912;path:hsa04540;path:hsa04010;WP195;WP2380;WP382;WP3915;WP422;WP437;WP481
CDK14,path:hsa05202
IFIT3,WP4197
SLC9A3R2,path:hsa04960
COPS4,WP4352
SLC27A6,path:hsa04931;path:hsa03320;WP3942
CNGA1,path:hsa04024;path:hsa04022;path:hsa04744;WP4008;WP4803
MOCS1,path:hsa00790;WP4507
LLGL1,path:hsa04530;path:hsa04390;path:hsa05165
SFPQ,WP411;WP4241
RYR2,path:hsa05020;path:hsa05022;path:hsa04921;path:hsa04911;path:hsa05414;path:hsa05410;path:hsa05412;path:hsa05415;path:hsa04713;path:hsa04261;path:hsa04024;path:hsa04371;path:hsa04020;path:hsa04972;path:hsa04260;WP2118;WP289;WP3679;WP4875;WP536;WP706
PGM5,WP698
IL15,path:hsa04630;path:hsa04668;path:hsa05166;path:hsa05323;path:hsa05200;path:hsa04060;path:hsa04672;WP3893;WP530
GRIN2D,path:hsa05020;path:hsa05022;path:hsa05030;path:hsa05031;path:hsa05034;path:hsa04724;path:hsa05010;path:hsa05014;path:hsa05033;path:hsa05017;path:hsa04720;path:hsa04713;path:hsa04024;path:hsa04020;path:hsa04080;WP2059;WP3944;WP4008;WP4222;WP4539;WP4698;WP4875
SDHB,path:hsa00020;path:hsa05020;path:hsa05022;path:hsa04932;path:hsa05415;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa04714;path:hsa00190;path:hsa05012;WP111;WP4290;WP4396;WP4920;WP78
STMN1,path:hsa04010;path:hsa05206;WP2038;WP2446;WP3303;WP382;WP437;WP4538;WP4754
NEK7,path:hsa04621;WP4352
HDAC4,path:hsa05034;path:hsa04613;path:hsa04371;path:hsa05206;path:hsa05203;WP1544;WP1992;WP2064;WP2795;WP3414;WP3878;WP3888;WP3996;WP474;WP4808;WP4874
NBN,path:hsa03440;path:hsa04218;WP186;WP1530;WP2942;WP3878;WP4262;WP4946;WP707
DEPTOR,path:hsa04140;path:hsa04150;WP3850;WP4018;WP4538;WP4549;WP4577;WP4923
SLC27A3,path:hsa04931
RBP1,WP2446;WP716
GIPC1,WP3888
CHKA,path:hsa00564;path:hsa05231;WP3933;WP3940;WP528
PRXL2B,path:hsa00590;WP4719
HSPB7,WP2895
ZNF20,path:hsa05168
BBS7,WP4352;WP4536;WP4656;WP4803
CHRNA2,path:hsa04080
NANOG,path:hsa04550;path:hsa05205;WP2406;WP2853;WP2857;WP3527;WP399;WP4963;WP706
KRT13,path:hsa05150;path:hsa04915;WP2877
REXO5,path:hsa03008
CTSZ,path:hsa04142;path:hsa04210
ASS1,path:hsa00250;path:hsa05418;path:hsa00220;WP106;WP3925
GTF2H1,path:hsa03022;path:hsa05203;path:hsa03420;WP405;WP4753;WP4946
PSMD10,WP183;WP2359
MORC3,WP2916
PLA2G3,path:hsa00565;path:hsa00564;path:hsa04014;path:hsa04270;path:hsa00592;path:hsa00590;path:hsa00591;path:hsa04975;path:hsa04972;WP4223
BCKDHB,path:hsa00640;path:hsa00280
NDUFS2,path:hsa05020;path:hsa05022;path:hsa04932;path:hsa05415;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa04714;path:hsa00190;path:hsa05012;path:hsa04723;WP111;WP4396;WP623
ALS2,path:hsa05022;path:hsa05014;WP2447;WP4754
HSPA9,path:hsa05152;path:hsa03018;WP2359
GLG1,path:hsa04514
RFC1,path:hsa03430;path:hsa03030;path:hsa03420;WP1530;WP466;WP4673;WP4753;WP4946;WP531;WP707
AP1B1,path:hsa04142;path:hsa05170
GRIN1,path:hsa05020;path:hsa05022;path:hsa05030;path:hsa05031;path:hsa05034;path:hsa04724;path:hsa04014;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa05033;path:hsa05017;path:hsa04720;path:hsa04713;path:hsa04024;path:hsa04020;path:hsa04015;path:hsa04080;WP2059;WP2380;WP2431;WP2636;WP3584;WP3676;WP4008;WP4148;WP4222;WP4223;WP4539;WP4549;WP4698;WP4875;WP706
EIF4EBP2,path:hsa04213;path:hsa03013;WP107;WP4549
DNAJB11,path:hsa04141;WP3613
BRCC3,path:hsa04621;path:hsa03440
KISS1,path:hsa04929;path:hsa04080;WP4871
ACTG2,path:hsa04270;WP2636;WP4534
HES4,path:hsa05165
FLT4,path:hsa04510;path:hsa04151;path:hsa04014;path:hsa05224;path:hsa04020;path:hsa04015;path:hsa04010;path:hsa05200;WP3932;WP4172;WP4223;WP4262;WP4331;WP4540;WP4541
PLA2G10,path:hsa00565;path:hsa00564;path:hsa04014;path:hsa04270;path:hsa00592;path:hsa00590;path:hsa00591;path:hsa04975;path:hsa04972;WP4223
IDO1,path:hsa00380;path:hsa05143;WP3645;WP465
POLR1A,path:hsa03020;WP4022;WP405
TRNT1,path:hsa03013
AKAP8,WP35
ASIC3,path:hsa04750
DIS3,path:hsa03018
PKP1,WP4239
PPP2R2D,path:hsa04151;path:hsa04728;path:hsa04530;path:hsa03015;path:hsa04152;path:hsa04071;path:hsa04261;path:hsa04390;path:hsa05142;path:hsa05160;path:hsa05165;WP3932;WP4172
FZD9,path:hsa05022;path:hsa04934;path:hsa05226;path:hsa05224;path:hsa04310;path:hsa05010;path:hsa04550;path:hsa05217;path:hsa05225;path:hsa04390;path:hsa05205;path:hsa05200;path:hsa04916;path:hsa04150;path:hsa05165;WP3680;WP3931;WP399;WP4150;WP4239;WP4258;WP4262;WP428;WP4336;WP4787
KLRC4,path:hsa04612
RBBP4,path:hsa04218;WP2446;WP2916;WP4204;WP4239;WP4320
MRPL13,path:hsa03010
DPP4,path:hsa04974
MRPS18B,path:hsa05203
OAT,path:hsa00330;WP3925;WP4657
BHLHE40,path:hsa04710;WP1591;WP2857;WP2880;WP2882;WP706
ABI1,path:hsa05132;path:hsa05130;WP437
AMOTL1,path:hsa04530
S100A7,path:hsa04657
SKIL,path:hsa04550;WP2858;WP3624;WP366;WP4533;WP4816;WP560
LYRM7,WP4921
EIF3E,path:hsa03013;path:hsa05160;WP107;WP5027
SOCS5,path:hsa04630;path:hsa04917;WP395
