Interactor 1,Interactor 2,is_directed,BIOGRID,pathway,complex,Confidence
NOG,BMP5,-1.0,False,True,False,0.86
NOG,BMP4,-1.0,False,True,False,0.998
NOG,BMP2,-1.0,False,True,False,0.999
ITGAV,PTK2,1.0,True,True,True,0.989
ITGAV,ILK,1.0,True,True,True,0.971
GPSM3,GNAI1,-1.0,True,False,False,0.9
ITGAL,ICAM1,1.0,True,True,False,0.999
ITGAL,ICAM3,1.0,False,True,False,0.999
ITGAM,ICAM1,1.0,True,True,False,0.999
HLF,DBP,1.0,True,False,False,0.86
SMAD9,SMAD3,0.0,True,True,True,0.87
SMAD9,SMAD4,1.0,True,True,True,0.89
SMAD9,SMAD2,-1.0,True,True,True,0.82
SMAD4,AKT1,0.0,True,True,True,0.9
SMAD4,GATA2,0.0,True,True,False,0.87
SMAD4,MAX,0.0,True,True,True,0.85
SMAD4,DCP1A,0.0,True,True,True,0.9
SMAD4,JUN,1.0,True,True,True,0.83
SMAD4,TFE3,0.0,True,True,False,0.85
SMAD4,MEF2A,1.0,False,True,True,0.65
SMAD4,SMAD7,1.0,True,True,True,0.79
SMAD4,SMAD3,1.0,True,True,True,0.9
SMAD4,RBL1,1.0,True,True,True,0.84
SMAD4,CTCF,1.0,False,True,True,0.52
SMAD4,OCLN,-1.0,False,True,True,0.52
SMAD4,LEF1,1.0,True,True,True,0.76
SMAD4,EP300,1.0,True,True,True,0.86
SMAD4,JUNB,0.0,True,True,False,0.88
SMAD4,FOXO3,0.0,True,True,True,0.88
SMAD4,CEBPB,0.0,True,True,True,0.89
SMAD4,AR,1.0,True,True,True,0.995
SMAD4,DACH1,-1.0,True,False,False,0.76
SMAD4,TOB1,0.0,True,True,True,0.89
SMAD4,BTRC,-1.0,True,True,True,0.965
SMAD4,CREBBP,1.0,True,True,True,0.992
SMAD4,ATF2,1.0,True,True,True,0.79
SMAD5,WWP1,0.0,True,True,False,0.89
SMAD5,TOB1,0.0,True,True,False,0.89
SMAD5,RUNX2,0.0,True,True,False,0.86
